,size,train_scores,test_scores,combs
0,1,0.6658190108733778,0.672,"('HomeOwnerFlag',)"
1,1,0.6855489301999298,0.6908,"('NumberCarsOwned',)"
2,1,0.7508768853034024,0.7594,"('NumberChildrenAtHome',)"
3,1,0.6658190108733778,0.672,"('AreaCode',)"
4,1,0.6658190108733778,0.672,"('Sex',)"
5,1,0.6658190108733778,0.672,"('Married',)"
6,1,0.6658190108733778,0.672,"('JobType',)"
7,1,0.6658190108733778,0.672,"('EducationType',)"
8,1,0.6658190108733778,0.672,"('Country',)"
9,1,0.6762539459838653,0.6712,"('Income',)"
10,1,0.6658190108733778,0.672,"('AgeBracket',)"
11,1,0.6658190108733778,0.672,"('ChildrenFlag',)"
12,2,0.6855489301999298,0.6908,"('HomeOwnerFlag', 'NumberCarsOwned')"
13,2,0.7508768853034024,0.7594,"('HomeOwnerFlag', 'NumberChildrenAtHome')"
14,2,0.6658190108733778,0.672,"('HomeOwnerFlag', 'AreaCode')"
15,2,0.6658190108733778,0.672,"('HomeOwnerFlag', 'Sex')"
16,2,0.6658190108733778,0.672,"('HomeOwnerFlag', 'Married')"
17,2,0.6658190108733778,0.672,"('HomeOwnerFlag', 'JobType')"
18,2,0.6658190108733778,0.672,"('HomeOwnerFlag', 'EducationType')"
19,2,0.6658190108733778,0.672,"('HomeOwnerFlag', 'Country')"
20,2,0.6664328305857594,0.6588,"('HomeOwnerFlag', 'Income')"
21,2,0.6658190108733778,0.672,"('HomeOwnerFlag', 'AgeBracket')"
22,2,0.6658190108733778,0.672,"('HomeOwnerFlag', 'ChildrenFlag')"
23,2,0.7541213609259909,0.7636,"('NumberCarsOwned', 'NumberChildrenAtHome')"
24,2,0.6855489301999298,0.6908,"('NumberCarsOwned', 'AreaCode')"
25,2,0.7005436688881095,0.7094,"('NumberCarsOwned', 'Sex')"
26,2,0.697737635917222,0.704,"('NumberCarsOwned', 'Married')"
27,2,0.6961592423710978,0.7094,"('NumberCarsOwned', 'JobType')"
28,2,0.6872150122763943,0.696,"('NumberCarsOwned', 'EducationType')"
29,2,0.6855489301999298,0.6908,"('NumberCarsOwned', 'Country')"
30,2,0.7012451771308312,0.7146,"('NumberCarsOwned', 'Income')"
31,2,0.7095755875131533,0.7228,"('NumberCarsOwned', 'AgeBracket')"
32,2,0.7057172921781831,0.7186,"('NumberCarsOwned', 'ChildrenFlag')"
33,2,0.7508768853034024,0.7594,"('NumberChildrenAtHome', 'AreaCode')"
34,2,0.7699052963872326,0.7772,"('NumberChildrenAtHome', 'Sex')"
35,2,0.7697299193265521,0.7802,"('NumberChildrenAtHome', 'Married')"
36,2,0.7582427218519817,0.7594,"('NumberChildrenAtHome', 'JobType')"
37,2,0.7649070501578393,0.7688,"('NumberChildrenAtHome', 'EducationType')"
38,2,0.7508768853034024,0.7594,"('NumberChildrenAtHome', 'Country')"
39,2,0.762101017186952,0.7654,"('NumberChildrenAtHome', 'Income')"
40,2,0.755699754472115,0.76,"('NumberChildrenAtHome', 'AgeBracket')"
41,2,0.7692037881445107,0.7702,"('NumberChildrenAtHome', 'ChildrenFlag')"
42,2,0.6658190108733778,0.672,"('AreaCode', 'Sex')"
43,2,0.6658190108733778,0.672,"('AreaCode', 'Married')"
44,2,0.6658190108733778,0.672,"('AreaCode', 'JobType')"
45,2,0.6658190108733778,0.672,"('AreaCode', 'EducationType')"
46,2,0.6658190108733778,0.672,"('AreaCode', 'Country')"
47,2,0.688267274640477,0.6906,"('AreaCode', 'Income')"
48,2,0.6658190108733778,0.672,"('AreaCode', 'AgeBracket')"
49,2,0.6658190108733778,0.672,"('AreaCode', 'ChildrenFlag')"
50,2,0.6658190108733778,0.672,"('Sex', 'Married')"
51,2,0.6658190108733778,0.672,"('Sex', 'JobType')"
52,2,0.6658190108733778,0.672,"('Sex', 'EducationType')"
53,2,0.6658190108733778,0.672,"('Sex', 'Country')"
54,2,0.6813398807435987,0.6768,"('Sex', 'Income')"
55,2,0.6658190108733778,0.672,"('Sex', 'AgeBracket')"
56,2,0.6658190108733778,0.672,"('Sex', 'ChildrenFlag')"
57,2,0.6782707821816907,0.6834,"('Married', 'JobType')"
58,2,0.6658190108733778,0.672,"('Married', 'EducationType')"
59,2,0.6658190108733778,0.672,"('Married', 'Country')"
60,2,0.700017537706068,0.7016,"('Married', 'Income')"
61,2,0.6658190108733778,0.672,"('Married', 'AgeBracket')"
62,2,0.6658190108733778,0.672,"('Married', 'ChildrenFlag')"
63,2,0.6658190108733778,0.672,"('JobType', 'EducationType')"
64,2,0.6658190108733778,0.672,"('JobType', 'Country')"
65,2,0.6822167660470011,0.679,"('JobType', 'Income')"
66,2,0.6658190108733778,0.672,"('JobType', 'AgeBracket')"
67,2,0.6658190108733778,0.672,"('JobType', 'ChildrenFlag')"
68,2,0.6658190108733778,0.672,"('EducationType', 'Country')"
69,2,0.687478077867415,0.6846,"('EducationType', 'Income')"
70,2,0.6658190108733778,0.672,"('EducationType', 'AgeBracket')"
71,2,0.6658190108733778,0.672,"('EducationType', 'ChildrenFlag')"
72,2,0.6729217818309365,0.668,"('Country', 'Income')"
73,2,0.6658190108733778,0.672,"('Country', 'AgeBracket')"
74,2,0.6658190108733778,0.672,"('Country', 'ChildrenFlag')"
75,2,0.7038758330410382,0.6986,"('Income', 'AgeBracket')"
76,2,0.6823044545773412,0.6766,"('Income', 'ChildrenFlag')"
77,2,0.6658190108733778,0.672,"('AgeBracket', 'ChildrenFlag')"
78,3,0.7541213609259909,0.7636,"('HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome')"
79,3,0.6855489301999298,0.6908,"('HomeOwnerFlag', 'NumberCarsOwned', 'AreaCode')"
80,3,0.7005436688881095,0.7094,"('HomeOwnerFlag', 'NumberCarsOwned', 'Sex')"
81,3,0.697737635917222,0.704,"('HomeOwnerFlag', 'NumberCarsOwned', 'Married')"
82,3,0.6961592423710978,0.7094,"('HomeOwnerFlag', 'NumberCarsOwned', 'JobType')"
83,3,0.6945808488249737,0.7082,"('HomeOwnerFlag', 'NumberCarsOwned', 'EducationType')"
84,3,0.6855489301999298,0.6908,"('HomeOwnerFlag', 'NumberCarsOwned', 'Country')"
85,3,0.701508242721852,0.7148,"('HomeOwnerFlag', 'NumberCarsOwned', 'Income')"
86,3,0.7095755875131533,0.7228,"('HomeOwnerFlag', 'NumberCarsOwned', 'AgeBracket')"
87,3,0.7057172921781831,0.7186,"('HomeOwnerFlag', 'NumberCarsOwned', 'ChildrenFlag')"
88,3,0.7508768853034024,0.7594,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'AreaCode')"
89,3,0.7699052963872326,0.7772,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'Sex')"
90,3,0.7697299193265521,0.7802,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'Married')"
91,3,0.7582427218519817,0.7594,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'JobType')"
92,3,0.7598211153981059,0.7618,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'EducationType')"
93,3,0.7508768853034024,0.7594,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'Country')"
94,3,0.7656085584005612,0.7654,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'Income')"
95,3,0.755699754472115,0.76,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'AgeBracket')"
96,3,0.7692037881445107,0.7702,"('HomeOwnerFlag', 'NumberChildrenAtHome', 'ChildrenFlag')"
97,3,0.6658190108733778,0.672,"('HomeOwnerFlag', 'AreaCode', 'Sex')"
98,3,0.6658190108733778,0.672,"('HomeOwnerFlag', 'AreaCode', 'Married')"
99,3,0.6658190108733778,0.672,"('HomeOwnerFlag', 'AreaCode', 'JobType')"
100,3,0.6658190108733778,0.672,"('HomeOwnerFlag', 'AreaCode', 'EducationType')"
101,3,0.6658190108733778,0.672,"('HomeOwnerFlag', 'AreaCode', 'Country')"
102,3,0.688267274640477,0.6906,"('HomeOwnerFlag', 'AreaCode', 'Income')"
103,3,0.6658190108733778,0.672,"('HomeOwnerFlag', 'AreaCode', 'AgeBracket')"
104,3,0.6658190108733778,0.672,"('HomeOwnerFlag', 'AreaCode', 'ChildrenFlag')"
105,3,0.6658190108733778,0.672,"('HomeOwnerFlag', 'Sex', 'Married')"
106,3,0.6658190108733778,0.672,"('HomeOwnerFlag', 'Sex', 'JobType')"
107,3,0.6658190108733778,0.672,"('HomeOwnerFlag', 'Sex', 'EducationType')"
108,3,0.6658190108733778,0.672,"('HomeOwnerFlag', 'Sex', 'Country')"
109,3,0.6813398807435987,0.6768,"('HomeOwnerFlag', 'Sex', 'Income')"
110,3,0.6658190108733778,0.672,"('HomeOwnerFlag', 'Sex', 'AgeBracket')"
111,3,0.6658190108733778,0.672,"('HomeOwnerFlag', 'Sex', 'ChildrenFlag')"
112,3,0.6782707821816907,0.6834,"('HomeOwnerFlag', 'Married', 'JobType')"
113,3,0.6658190108733778,0.672,"('HomeOwnerFlag', 'Married', 'EducationType')"
114,3,0.6658190108733778,0.672,"('HomeOwnerFlag', 'Married', 'Country')"
115,3,0.700017537706068,0.7016,"('HomeOwnerFlag', 'Married', 'Income')"
116,3,0.6658190108733778,0.672,"('HomeOwnerFlag', 'Married', 'AgeBracket')"
117,3,0.6658190108733778,0.672,"('HomeOwnerFlag', 'Married', 'ChildrenFlag')"
118,3,0.6658190108733778,0.672,"('HomeOwnerFlag', 'JobType', 'EducationType')"
119,3,0.6658190108733778,0.672,"('HomeOwnerFlag', 'JobType', 'Country')"
120,3,0.6822167660470011,0.679,"('HomeOwnerFlag', 'JobType', 'Income')"
121,3,0.6658190108733778,0.672,"('HomeOwnerFlag', 'JobType', 'AgeBracket')"
122,3,0.6658190108733778,0.672,"('HomeOwnerFlag', 'JobType', 'ChildrenFlag')"
123,3,0.6658190108733778,0.672,"('HomeOwnerFlag', 'EducationType', 'Country')"
124,3,0.687478077867415,0.6846,"('HomeOwnerFlag', 'EducationType', 'Income')"
125,3,0.6658190108733778,0.672,"('HomeOwnerFlag', 'EducationType', 'AgeBracket')"
126,3,0.6658190108733778,0.672,"('HomeOwnerFlag', 'EducationType', 'ChildrenFlag')"
127,3,0.6728340933005963,0.6682,"('HomeOwnerFlag', 'Country', 'Income')"
128,3,0.6658190108733778,0.672,"('HomeOwnerFlag', 'Country', 'AgeBracket')"
129,3,0.6658190108733778,0.672,"('HomeOwnerFlag', 'Country', 'ChildrenFlag')"
130,3,0.7038758330410382,0.6986,"('HomeOwnerFlag', 'Income', 'AgeBracket')"
131,3,0.6823044545773412,0.6766,"('HomeOwnerFlag', 'Income', 'ChildrenFlag')"
132,3,0.6658190108733778,0.672,"('HomeOwnerFlag', 'AgeBracket', 'ChildrenFlag')"
133,3,0.7541213609259909,0.7636,"('NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode')"
134,3,0.7535075412136093,0.7626,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Sex')"
135,3,0.7605226236408278,0.7736,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Married')"
136,3,0.755699754472115,0.7644,"('NumberCarsOwned', 'NumberChildrenAtHome', 'JobType')"
137,3,0.7525429673798667,0.7626,"('NumberCarsOwned', 'NumberChildrenAtHome', 'EducationType')"
138,3,0.7541213609259909,0.7636,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Country')"
139,3,0.7582427218519817,0.7648,"('NumberCarsOwned', 'NumberChildrenAtHome', 'Income')"
140,3,0.7535952297439495,0.7644,"('NumberCarsOwned', 'NumberChildrenAtHome', 'AgeBracket')"
141,3,0.7528937215012277,0.762,"('NumberCarsOwned', 'NumberChildrenAtHome', 'ChildrenFlag')"
142,3,0.7005436688881095,0.7094,"('NumberCarsOwned', 'AreaCode', 'Sex')"
143,3,0.697737635917222,0.704,"('NumberCarsOwned', 'AreaCode', 'Married')"
144,3,0.6944054717642932,0.7052,"('NumberCarsOwned', 'AreaCode', 'JobType')"
145,3,0.692827078218169,0.703,"('NumberCarsOwned', 'AreaCode', 'EducationType')"
146,3,0.6855489301999298,0.6908,"('NumberCarsOwned', 'AreaCode', 'Country')"
147,3,0.7017713083128727,0.7104,"('NumberCarsOwned', 'AreaCode', 'Income')"
148,3,0.6986145212206244,0.7064,"('NumberCarsOwned', 'AreaCode', 'AgeBracket')"
149,3,0.7057172921781831,0.7186,"('NumberCarsOwned', 'AreaCode', 'ChildrenFlag')"
150,3,0.697737635917222,0.704,"('NumberCarsOwned', 'Sex', 'Married')"
151,3,0.7007190459487899,0.7092,"('NumberCarsOwned', 'Sex', 'JobType')"
152,3,0.7001052262364083,0.7094,"('NumberCarsOwned', 'Sex', 'EducationType')"
153,3,0.7005436688881095,0.7094,"('NumberCarsOwned', 'Sex', 'Country')"
154,3,0.6918625043844265,0.6982,"('NumberCarsOwned', 'Sex', 'Income')"
155,3,0.70457734128376,0.7136,"('NumberCarsOwned', 'Sex', 'AgeBracket')"
156,3,0.7048404068747808,0.7114,"('NumberCarsOwned', 'Sex', 'ChildrenFlag')"
157,3,0.6935285864608909,0.695,"('NumberCarsOwned', 'Married', 'JobType')"
158,3,0.6967730620834794,0.7058,"('NumberCarsOwned', 'Married', 'EducationType')"
159,3,0.697737635917222,0.704,"('NumberCarsOwned', 'Married', 'Country')"
160,3,0.7141353910908453,0.716,"('NumberCarsOwned', 'Married', 'Income')"
161,3,0.7020343739038933,0.7104,"('NumberCarsOwned', 'Married', 'AgeBracket')"
162,3,0.7007190459487899,0.7076,"('NumberCarsOwned', 'Married', 'ChildrenFlag')"
163,3,0.6970361276745002,0.7096,"('NumberCarsOwned', 'JobType', 'EducationType')"
164,3,0.6960715538407576,0.7094,"('NumberCarsOwned', 'JobType', 'Country')"
165,3,0.6973868817958611,0.702,"('NumberCarsOwned', 'JobType', 'Income')"
166,3,0.7073833742546475,0.7178,"('NumberCarsOwned', 'JobType', 'AgeBracket')"
167,3,0.7058049807085234,0.7188,"('NumberCarsOwned', 'JobType', 'ChildrenFlag')"
168,3,0.6908979305506839,0.7014,"('NumberCarsOwned', 'EducationType', 'Country')"
169,3,0.700017537706068,0.7038,"('NumberCarsOwned', 'EducationType', 'Income')"
170,3,0.7069449316029464,0.7206,"('NumberCarsOwned', 'EducationType', 'AgeBracket')"
171,3,0.7058926692388635,0.7224,"('NumberCarsOwned', 'EducationType', 'ChildrenFlag')"
172,3,0.7011574886004911,0.7146,"('NumberCarsOwned', 'Country', 'Income')"
173,3,0.7073833742546475,0.7188,"('NumberCarsOwned', 'Country', 'AgeBracket')"
174,3,0.7057172921781831,0.7186,"('NumberCarsOwned', 'Country', 'ChildrenFlag')"
175,3,0.7141353910908453,0.7238,"('NumberCarsOwned', 'Income', 'AgeBracket')"
176,3,0.6934408979305506,0.7,"('NumberCarsOwned', 'Income', 'ChildrenFlag')"
177,3,0.7144861452122062,0.7266,"('NumberCarsOwned', 'AgeBracket', 'ChildrenFlag')"
178,3,0.7578919677306208,0.7676,"('NumberChildrenAtHome', 'AreaCode', 'Sex')"
179,3,0.7697299193265521,0.7802,"('NumberChildrenAtHome', 'AreaCode', 'Married')"
180,3,0.7582427218519817,0.7594,"('NumberChildrenAtHome', 'AreaCode', 'JobType')"
181,3,0.7530690985619081,0.76,"('NumberChildrenAtHome', 'AreaCode', 'EducationType')"
182,3,0.7508768853034024,0.7594,"('NumberChildrenAtHome', 'AreaCode', 'Country')"
183,3,0.7627148368993336,0.7656,"('NumberChildrenAtHome', 'AreaCode', 'Income')"
184,3,0.7562258856541564,0.7634,"('NumberChildrenAtHome', 'AreaCode', 'AgeBracket')"
185,3,0.7558751315327955,0.763,"('NumberChildrenAtHome', 'AreaCode', 'ChildrenFlag')"
186,3,0.7653454928095406,0.776,"('NumberChildrenAtHome', 'Sex', 'Married')"
187,3,0.7609610662925289,0.7668,"('NumberChildrenAtHome', 'Sex', 'JobType')"
188,3,0.7671869519466854,0.7728,"('NumberChildrenAtHome', 'Sex', 'EducationType')"
189,3,0.7685022799017889,0.7766,"('NumberChildrenAtHome', 'Sex', 'Country')"
190,3,0.7645562960364785,0.768,"('NumberChildrenAtHome', 'Sex', 'Income')"
191,3,0.7706068046299545,0.7792,"('NumberChildrenAtHome', 'Sex', 'AgeBracket')"
192,3,0.7699052963872326,0.7772,"('NumberChildrenAtHome', 'Sex', 'ChildrenFlag')"
193,3,0.7642932304454577,0.7742,"('NumberChildrenAtHome', 'Married', 'JobType')"
194,3,0.7683269028411084,0.779,"('NumberChildrenAtHome', 'Married', 'EducationType')"
195,3,0.7697299193265521,0.7802,"('NumberChildrenAtHome', 'Married', 'Country')"
196,3,0.7667485092949842,0.7708,"('NumberChildrenAtHome', 'Married', 'Income')"
197,3,0.7720975096457383,0.7832,"('NumberChildrenAtHome', 'Married', 'AgeBracket')"
198,3,0.7697299193265521,0.7802,"('NumberChildrenAtHome', 'Married', 'ChildrenFlag')"
199,3,0.7619256401262715,0.762,"('NumberChildrenAtHome', 'JobType', 'EducationType')"
200,3,0.7582427218519817,0.7594,"('NumberChildrenAtHome', 'JobType', 'Country')"
201,3,0.7639424763240968,0.7638,"('NumberChildrenAtHome', 'JobType', 'Income')"
202,3,0.763240968081375,0.7646,"('NumberChildrenAtHome', 'JobType', 'AgeBracket')"
203,3,0.7625394598386531,0.763,"('NumberChildrenAtHome', 'JobType', 'ChildrenFlag')"
204,3,0.7635040336723956,0.7684,"('NumberChildrenAtHome', 'EducationType', 'Country')"
205,3,0.766660820764644,0.7672,"('NumberChildrenAtHome', 'EducationType', 'Income')"
206,3,0.7701683619782532,0.7706,"('NumberChildrenAtHome', 'EducationType', 'AgeBracket')"
207,3,0.7694668537355314,0.769,"('NumberChildrenAtHome', 'EducationType', 'ChildrenFlag')"
208,3,0.762890213960014,0.7652,"('NumberChildrenAtHome', 'Country', 'Income')"
209,3,0.7553490003507541,0.7604,"('NumberChildrenAtHome', 'Country', 'AgeBracket')"
210,3,0.767800771659067,0.7692,"('NumberChildrenAtHome', 'Country', 'ChildrenFlag')"
211,3,0.7679761487197475,0.7682,"('NumberChildrenAtHome', 'Income', 'AgeBracket')"
212,3,0.766310066643283,0.7668,"('NumberChildrenAtHome', 'Income', 'ChildrenFlag')"
213,3,0.7708698702209751,0.7728,"('NumberChildrenAtHome', 'AgeBracket', 'ChildrenFlag')"
214,3,0.6603823219922834,0.6708,"('AreaCode', 'Sex', 'Married')"
215,3,0.6658190108733778,0.672,"('AreaCode', 'Sex', 'JobType')"
216,3,0.6658190108733778,0.672,"('AreaCode', 'Sex', 'EducationType')"
217,3,0.6658190108733778,0.672,"('AreaCode', 'Sex', 'Country')"
218,3,0.6813398807435987,0.6768,"('AreaCode', 'Sex', 'Income')"
219,3,0.6658190108733778,0.672,"('AreaCode', 'Sex', 'AgeBracket')"
220,3,0.6658190108733778,0.672,"('AreaCode', 'Sex', 'ChildrenFlag')"
221,3,0.675377060680463,0.685,"('AreaCode', 'Married', 'JobType')"
222,3,0.660996141704665,0.6748,"('AreaCode', 'Married', 'EducationType')"
223,3,0.6658190108733778,0.672,"('AreaCode', 'Married', 'Country')"
224,3,0.6970361276745002,0.7014,"('AreaCode', 'Married', 'Income')"
225,3,0.6407400911960716,0.6456,"('AreaCode', 'Married', 'AgeBracket')"
226,3,0.6683619782532445,0.684,"('AreaCode', 'Married', 'ChildrenFlag')"
227,3,0.6658190108733778,0.672,"('AreaCode', 'JobType', 'EducationType')"
228,3,0.6658190108733778,0.672,"('AreaCode', 'JobType', 'Country')"
229,3,0.6932655208698703,0.6882,"('AreaCode', 'JobType', 'Income')"
230,3,0.6658190108733778,0.672,"('AreaCode', 'JobType', 'AgeBracket')"
231,3,0.6658190108733778,0.672,"('AreaCode', 'JobType', 'ChildrenFlag')"
232,3,0.6658190108733778,0.672,"('AreaCode', 'EducationType', 'Country')"
233,3,0.6952823570676956,0.6938,"('AreaCode', 'EducationType', 'Income')"
234,3,0.6658190108733778,0.672,"('AreaCode', 'EducationType', 'AgeBracket')"
235,3,0.6658190108733778,0.672,"('AreaCode', 'EducationType', 'ChildrenFlag')"
236,3,0.688267274640477,0.6906,"('AreaCode', 'Country', 'Income')"
237,3,0.6658190108733778,0.672,"('AreaCode', 'Country', 'AgeBracket')"
238,3,0.6658190108733778,0.672,"('AreaCode', 'Country', 'ChildrenFlag')"
239,3,0.7038758330410382,0.6986,"('AreaCode', 'Income', 'AgeBracket')"
240,3,0.6823044545773412,0.6766,"('AreaCode', 'Income', 'ChildrenFlag')"
241,3,0.6658190108733778,0.672,"('AreaCode', 'AgeBracket', 'ChildrenFlag')"
242,3,0.681427569273939,0.682,"('Sex', 'Married', 'JobType')"
243,3,0.6773062083479481,0.6858,"('Sex', 'Married', 'EducationType')"
244,3,0.6658190108733778,0.672,"('Sex', 'Married', 'Country')"
245,3,0.700017537706068,0.7032,"('Sex', 'Married', 'Income')"
246,3,0.676517011574886,0.6808,"('Sex', 'Married', 'AgeBracket')"
247,3,0.6853735531392494,0.6882,"('Sex', 'Married', 'ChildrenFlag')"
248,3,0.6804629954401964,0.6898,"('Sex', 'JobType', 'EducationType')"
249,3,0.6658190108733778,0.672,"('Sex', 'JobType', 'Country')"
250,3,0.6770431427569273,0.669,"('Sex', 'JobType', 'Income')"
251,3,0.6880042090494564,0.6918,"('Sex', 'JobType', 'AgeBracket')"
252,3,0.67423710978604,0.6756,"('Sex', 'JobType', 'ChildrenFlag')"
253,3,0.6658190108733778,0.672,"('Sex', 'EducationType', 'Country')"
254,3,0.692827078218169,0.6934,"('Sex', 'EducationType', 'Income')"
255,3,0.6563486495966327,0.6672,"('Sex', 'EducationType', 'AgeBracket')"
256,3,0.6658190108733778,0.672,"('Sex', 'EducationType', 'ChildrenFlag')"
257,3,0.6813398807435987,0.6768,"('Sex', 'Country', 'Income')"
258,3,0.6658190108733778,0.672,"('Sex', 'Country', 'AgeBracket')"
259,3,0.6658190108733778,0.672,"('Sex', 'Country', 'ChildrenFlag')"
260,3,0.7011574886004911,0.6992,"('Sex', 'Income', 'AgeBracket')"
261,3,0.681427569273939,0.6768,"('Sex', 'Income', 'ChildrenFlag')"
262,3,0.6680989126622238,0.6732,"('Sex', 'AgeBracket', 'ChildrenFlag')"
263,3,0.6844966678358471,0.6896,"('Married', 'JobType', 'EducationType')"
264,3,0.6782707821816907,0.6834,"('Married', 'JobType', 'Country')"
265,3,0.6975622588565416,0.7034,"('Married', 'JobType', 'Income')"
266,3,0.6660820764643984,0.6712,"('Married', 'JobType', 'AgeBracket')"
267,3,0.6804629954401964,0.6884,"('Married', 'JobType', 'ChildrenFlag')"
268,3,0.6658190108733778,0.672,"('Married', 'EducationType', 'Country')"
269,3,0.6989652753419853,0.6984,"('Married', 'EducationType', 'Income')"
270,3,0.6677481585408629,0.6784,"('Married', 'EducationType', 'AgeBracket')"
271,3,0.6818660119256401,0.6928,"('Married', 'EducationType', 'ChildrenFlag')"
272,3,0.700017537706068,0.7016,"('Married', 'Country', 'Income')"
273,3,0.6588916169764995,0.6688,"('Married', 'Country', 'AgeBracket')"
274,3,0.6658190108733778,0.672,"('Married', 'Country', 'ChildrenFlag')"
275,3,0.7014205541915117,0.709,"('Married', 'Income', 'AgeBracket')"
276,3,0.6963346194317783,0.7004,"('Married', 'Income', 'ChildrenFlag')"
277,3,0.700017537706068,0.7088,"('Married', 'AgeBracket', 'ChildrenFlag')"
278,3,0.6658190108733778,0.672,"('JobType', 'EducationType', 'Country')"
279,3,0.6858119957909505,0.6838,"('JobType', 'EducationType', 'Income')"
280,3,0.6668712732374605,0.6738,"('JobType', 'EducationType', 'AgeBracket')"
281,3,0.6794107330761137,0.686,"('JobType', 'EducationType', 'ChildrenFlag')"
282,3,0.6822167660470011,0.679,"('JobType', 'Country', 'Income')"
283,3,0.6658190108733778,0.672,"('JobType', 'Country', 'AgeBracket')"
284,3,0.6658190108733778,0.672,"('JobType', 'Country', 'ChildrenFlag')"
285,3,0.6875657663977551,0.6856,"('JobType', 'Income', 'AgeBracket')"
286,3,0.6652051911609962,0.665,"('JobType', 'Income', 'ChildrenFlag')"
287,3,0.6774815854086286,0.683,"('JobType', 'AgeBracket', 'ChildrenFlag')"
288,3,0.687478077867415,0.6846,"('EducationType', 'Country', 'Income')"
289,3,0.6658190108733778,0.672,"('EducationType', 'Country', 'AgeBracket')"
290,3,0.6658190108733778,0.672,"('EducationType', 'Country', 'ChildrenFlag')"
291,3,0.7087863907400912,0.7102,"('EducationType', 'Income', 'AgeBracket')"
292,3,0.7034373903893371,0.7028,"('EducationType', 'Income', 'ChildrenFlag')"
293,3,0.6618730270080674,0.6686,"('EducationType', 'AgeBracket', 'ChildrenFlag')"
294,3,0.7038758330410382,0.6986,"('Country', 'Income', 'AgeBracket')"
295,3,0.6823044545773412,0.6766,"('Country', 'Income', 'ChildrenFlag')"
296,3,0.6658190108733778,0.672,"('Country', 'AgeBracket', 'ChildrenFlag')"
297,3,0.7096632760434936,0.704,"('Income', 'AgeBracket', 'ChildrenFlag')"
298,4,0.7541213609259909,0.7636,"('HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'AreaCode')"
299,4,0.7535075412136093,0.7626,"('HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'Sex')"
300,4,0.7605226236408278,0.7736,"('HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'Married')"
301,4,0.755699754472115,0.7644,"('HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'JobType')"
302,4,0.7525429673798667,0.7626,"('HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'EducationType')"
303,4,0.7541213609259909,0.7636,"('HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'Country')"
304,4,0.7577165906699403,0.7638,"('HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'Income')"
305,4,0.7535952297439495,0.7644,"('HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'AgeBracket')"
306,4,0.7528937215012277,0.762,"('HomeOwnerFlag', 'NumberCarsOwned', 'NumberChildrenAtHome', 'ChildrenFlag')"
307,4,0.7005436688881095,0.7094,"('HomeOwnerFlag', 'NumberCarsOwned', 'AreaCode', 'Sex')"
308,4,0.697737635917222,0.704,"('HomeOwnerFlag', 'NumberCarsOwned', 'AreaCode', 'Married')"
309,4,0.6944054717642932,0.7052,"('HomeOwnerFlag', 'NumberCarsOwned', 'AreaCode', 'JobType')"
310,4,0.692827078218169,0.703,"('HomeOwnerFlag', 'NumberCarsOwned', 'AreaCode', 'EducationType')"
311,4,0.6855489301999298,0.6908,"('HomeOwnerFlag', 'NumberCarsOwned', 'AreaCode', 'Country')"
312,4,0.7015959312521922,0.7108,"('HomeOwnerFlag', 'NumberCarsOwned', 'AreaCode', 'Income')"
313,4,0.6986145212206244,0.7064,"('HomeOwnerFlag', 'NumberCarsOwned', 'AreaCode', 'AgeBracket')"
314,4,0.7057172921781831,0.7186,"('HomeOwnerFlag', 'NumberCarsOwned', 'AreaCode', 'ChildrenFlag')"
315,4,0.697737635917222,0.704,"('HomeOwnerFlag', 'NumberCarsOwned', 'Sex', 'Married')"
316,4,0.7007190459487899,0.7092,"('HomeOwnerFlag', 'NumberCarsOwned', 'Sex', 'JobType')"
317,4,0.7001052262364083,0.7094,"('HomeOwnerFlag', 'NumberCarsOwned', 'Sex', 'EducationType')"
318,4,0.7005436688881095,0.7094,"('HomeOwnerFlag', 'NumberCarsOwned', 'Sex', 'Country')"
319,4,0.6918625043844265,0.6982,"('HomeOwnerFlag', 'NumberCarsOwned', 'Sex', 'Income')"
320,4,0.70457734128376,0.7136,"('HomeOwnerFlag', 'NumberCarsOwned', 'Sex', 'AgeBracket')"
